Timestamp,Gender,Age (number),Race/ethnicity,If not from U.S. please specify COUNTRY (leave blank if from U.S.),"Home State (abrv., Ex. NY, USE ALL CAPS please!)
(N/A if not from U.S.)","Name of home COUNTY (Ex. Broome)
(N/A if not from U.S.)",Did you play organized sports from ages 5-12?,Did you play organized sports from ages 13-18?,"Which sport was your primary sport in high school (if you played, if not click none)","Which sport was your secondary sport in high school (if you played, if not click none)","Did you hold a leadership position in high school for your sport? (Captain, etc.) (Click no if did not play a sport)",At what point did you stop playing these sports?,"To the best of your recollection, How many hours did you study in High School per week?",Were you part of any non sport club(s) in high school?,"if yes, how many","What was, to the best of your recollection, your High School average (out of 100)?
(If unknown, write N/A)",How many days per week did you train for your sport in high school (if no sport: select Did not train),How many hours did you spend training for your sport per day?,Did you aspire to be an athlete in college?,Did you mention any sports involvement on your college application?,Year,"Major
(if not at Binghamton click OTHER @ bottom)
(if not at college choose NONE @ bottom)",What college do you attend (did attend)?,If not attending/didn't attend Binghamton University please specify your Major at your university,If you did not attend/aren't attending Binghamton University did you apply to Binghamton University? ,If you did not attend/aren't attending Binghamton University did you get accepted into Binghamton? ,"College GPA (EX: 3.53)
(If freshman write ""No GPA Yet"")",After college plans,Are you currently an athlete on a NCAA team at your school (D1/D2/D3)?,"What university teams are you on, if any? (choose all that apply, if not click none)","Do you participate in any intramural sports in college?
",How many days do you train per week currently? (if not a college athlete select Do not train),How many hours do you spend training for your sport per day? (if not a college athlete select Do not train),"Do you think participation in these sports has positively or negatively affected your grades
","Are you enrolled in college on an athletic scholarship if you play a sport?
(Don’t answer if you do not play a sport in college)","Feedback:

Were any of the questions confusing or unclear? If yes, which ones?
Did any questions feel repetitive or unnecessary?
Were there any important questions you think we should add?
How long did the survey take you to complete? Was that too short, too long, or about right?
Did the wording of any questions feel biased or leading?
Were the answer choices clear and complete (e.g., did you ever feel like your answer wasn’t listed)?
Overall, what parts of the survey worked well?
What parts should we change or remove?
","If you answered yes to the last question, how did you make your team?"
10/10/2025 10:07:59,Male,19,"Asian, White",,NY,Monroe,Yes,No,None,None,No,Before middle school,4,Yes,3,100,Did not train,Did not train,No,No,Sophomore,Other,Binghamton University,,,,3.98,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 10:09:32,Male,22,White,,NY,Kings,Yes,Yes,Golf,None,No,End of high school,2,Yes,1,92,1,Did not train,No,No,Graduate Student,"Mathematical Sciences, BA",Binghamton University,,,,3.28,Both,No,None,No,Do not train,Do not train,N/A,,"""After college plans"" could be misleading if already marked as a graduate student in one of the earlier questions. For clarity, I selected ""Both"" since I plan to complete Grad School AND be employed in the upcoming future, or after college.

The server took me around 5 minutes to complete, which feels like a fine time. I am slightly biased since I could skip the questions about college sports due to not partaking in them, so it would be better to take feedback of the length of those questions for those who they are relevant to.
",
10/10/2025 10:09:38,Male,22,White,,CT,Middlesex,No,Yes,XC/Track and Field,None,No,End of high school,1,Yes,2,95,5,2,No,Yes,Graduate Student,"Mathematical Sciences, BS",Binghamton University,,,,3.86,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 10:38:54,Male,21,White,,NY,Suffolk,Yes,Yes,Swimming and Diving,None,Yes,Never Stopped,1,Yes,2,98.7,6,2,Yes,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,,4,Employment,Yes,Swimming and Diving,No,6,3,Positive effect,Yes,All good.,Recruited
10/10/2025 10:52:28,Female,21,Asian,China ,N/A,N/A,No,No,Volleyball,Tennis,No,End of high school,7,No,,93,Did not train,Did not train,No,No,Senior,"Mathematical Sciences, BS",Binghamton University,,,,3.73,Graduate School,No,None,No,Do not train,Do not train,N/A,No,,
10/10/2025 11:30:19,Male,19,White,,NY,Tioga,Yes,Yes,Baseball,Basketball,Yes,End of high school,1,No,,100,6,3,No,Yes,Junior,"Mathematical Sciences, BA",Binghamton University,,,,3.7,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 11:38:40,Female,21,White,,NY,Warren,Yes,Yes,Skiing,None,No,End of high school,4,Yes,2,96,5,4,No,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,,3.22,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 11:40:58,Female,18,White,,NY,Monroe,No,Yes,Cross-country skiing,None,No,End of high school,4,Yes,4,98,4,2,No,Yes,Freshman,"Mathematical Sciences, BA",Binghamton University,,,,No GPA Yet,Graduate School,No,None,No,Do not train,Do not train,N/A,,"I think the questions about the days and hours per week you trained for the sport could be more specific. It could be broken down into days and hours during the season vs offseason. 

The rest was great! It took me about 3 minutes to complete, which was perfect.",
10/10/2025 11:54:31,Male,19,White,,NY,Nassau,Yes,Yes,Baseball,Basketball,Yes,End of high school,2,Yes,2,96,6,2,No,Yes,Junior,"Mathematical Sciences, BS",Binghamton University,,,,3.5,Graduate School,No,None,Yes,Do not train,Do not train,Positive effect,,,
10/10/2025 11:56:32,Male,18,"Native Hawaiian or Pacific Islander, White",,NY,Erie,Yes,Yes,Lacrosse,Golf,Yes,Never Stopped,5,Yes,3,96,5,1,Yes,Yes,Freshman,"Mathematical Sciences, BA",Binghamton University,,,,No GPA yet,Employment,No,None,Yes,Do not train,Do not train,N/A,,clarify the second last question and what to say if you don't play a collegiate sport. The rest of the survey was good.,
10/10/2025 11:58:10,Female,19,White,,NY,Erie,Yes,No,None,None,No,Before middle school,5,Yes,5,97,Did not train,Did not train,No,No,Sophomore,"Mathematical Sciences, BA",Binghamton University,,,,3.88,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 12:05:45,Male,20,White,,NY,Westchester,Yes,Yes,Baseball,American Football,No,End of high school,1,Yes,4,95,5,2,No,Yes,Junior,"Mathematical Sciences, BA",Binghamton University,,,,4,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 12:42:03,Male,20,White,,NY,Suffolk,Yes,Yes,Wrestling,None,No,End of high school,0,Yes,2,97.73,6,3,No,Yes,Junior,"Mathematical Sciences, BA",Binghamton University,,,,3.4,Employment,No,None,Yes,Do not train,Do not train,No effect,,,
10/10/2025 12:51:48,Male,20,Asian,,NY,Westchester,No,No,None,None,No,Never Played,4,Yes,2,96,Did not train,Did not train,No,No,Junior,"Mathematical Sciences, BS",Binghamton University,,,,3.98,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 12:51:58,Male,20,White,,NY,Queens,Yes,No,None,None,No,Never Played,1,Yes,1,92,Did not train,Did not train,No,No,Junior,"Mathematical Sciences, BS",Binghamton University,,,,4,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 13:12:27,Female,19,Asian,,NY,Queens,No,Yes,Softball,Dance,No,During high school,3,No,,98,4,2,No,No,Sophomore,"Business Administration, BS",Binghamton University,,,,3.71,Employment,No,None,No,Do not train,Do not train,No effect,,Too easy for responders to answer in a way supporting their own beliefs regarding the impact of sports on academics,
10/10/2025 13:58:20,Male,20,White,,NY,Genesee,Yes,Yes,Hockey,Baseball,Yes,End of high school,3,Yes,4,98,7,2,No,Yes,Junior,"Mathematical Sciences, BA",Binghamton University,,,,3.3,Employment,No,None,Yes,Do not train,Do not train,N/A,,i think less college athletes questions,
10/10/2025 14:56:54,Female,20,White,,NY,Erie,Yes,Yes,Softball,Basketball,Yes,Never Stopped,1,Yes,2,98.5,5,2,Yes,Yes,Junior,"Mathematical Sciences, BS",Binghamton University,,,,3.3,Both,No,None,Yes,Do not train,Do not train,N/A,,"Ask about Club sports in college as well, because I am apart of those, but do not play at the collegiate level. Add softball as a sport :(. Maybe also ask about playing a third sport, because I also did tennis in high school, and I know many people were 3 sport athletes",
10/10/2025 15:05:00,Male,18,White,,NY,Monroe,Yes,No,None,None,No,End of middle school,6,Yes,4,98,Did not train,Did not train,No,No,Freshman,"Mathematical Sciences, BA",Binghamton University,,,,No GPA Yet,Graduate School,No,None,No,Do not train,Do not train,N/A,,"I’m taking two majors, but I could only state one",
10/10/2025 17:33:58,Male,21,White,,PA,Bucks,Yes,Yes,Soccer,None,No,End of high school,2,Yes,2,92,3,2,No,Yes,Junior,"Mathematical Sciences, BS",Binghamton University,,,,3.78,Employment,No,None,Yes,Do not train,Do not train,N/A,No,,
10/10/2025 17:35:07,Male,21,White,,NY,Schoharie,Yes,Yes,American Football,XC/Track and Field,No,End of high school,5,Yes,2,93,6,3,No,Yes,Senior,"Mathematical Sciences, BS",Binghamton University,,,,3.96,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/10/2025 17:42:35,trans/queer/nonbinary,18,White,,NY,Onondaga,Yes,No,None,None,No,Before middle school,8,Yes,4,99,Did not train,Did not train,No,No,Sophomore,"Mathematical Sciences, BS",Binghamton University,,,,4,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/12/2025 1:40:21,Female,21,White,,NY,Westchester,No,Yes,Lacrosse,None,No,During high school,15,Yes,2,98,5,3,No,Yes,Senior,"Mathematical Sciences, BA",Binghamton University,,,,2.94,Both,No,None,No,Do not train,Do not train,N/A,No,"You may also want to ask survey participants for how many years or seasons they played their sport, I only played for about 4 months one year of high school. 
",
10/12/2025 14:44:11,Male,19,Asian,,NY,Nassau,No,No,None,None,No,Never Played,8,Yes,4,99.94,Did not train,Did not train,No,No,Sophomore,"Mathematical Sciences, BA",Binghamton University,,,,3.89,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/12/2025 14:52:04,Male,18,Black or African American,,NY,Orange,Yes,Yes,XC/Track and Field,None,No,End of high school,3,Yes,5+,95,7,3,Yes,Yes,Sophomore,"Mathematical Sciences, BS",Binghamton University,,,,3.2,Both,No,None,Yes,Do not train,Do not train,N/A,,"Were any of the questions confusing or unclear? 
Yes, did you mean High school GPA average?

The Survey took me about 5 minutes to complete. (good amount of time)

Is the College GPA question necessary? please add a ""prefer not to say"" option.

Answer choices descriptions felt wordy but clear.

My answers were listed, choices were clear.",
10/13/2025 0:02:07,Female,19,Asian,,NJ,Middlesex,Yes,Yes,Wrestling,Softball,Yes,End of high school,8,Yes,4,87.5,7,3,No,Yes,Junior,"Mathematical Sciences, BA",Binghamton University,,,,3.31,Employment,No,None,Yes,Do not train,Do not train,Positive effect,No,"Overall, the survey was good and easy to follow! I do wish it used the option in Google Forms where follow-up questions only appear if you select a certain answer — that feature helps make the form feel more personalized and relevant.

I also have multiple majors, so it would’ve been nice if there was a way to select or enter more than one. Additionally, I wish there were more sports listed on the form, along with questions about travel for those sports and how much time they take.

Everything else worked well — the questions were clear and not repetitive, and the length felt about right.",
10/13/2025 12:59:01,Male,23,Asian,,NY,Tompkins,No,No,None,None,No,Never Played,8,Yes,2,N/A,Did not train,Did not train,No,No,Graduate Student,"Mathematical Sciences, BA",Binghamton University,,,,3.626,Both,No,None,No,Do not train,Do not train,N/A,,,
10/13/2025 13:56:57,Male,18,White,,NY,Richmond,Yes,Yes,XC/Track and Field,None,Yes,Never Stopped,5,No,,97,7,2,Yes,Yes,Freshman,"Mathematical Sciences, BA",Binghamton University,,,,No GPA Yet,Both,No,None,No,Do not train,Do not train,Positive effect,,You should probably ask about club sports or independent sports competition. That would apply to me but neither seemed to have been asked.,
10/13/2025 14:47:34,Female,19,White,,NY,Onondaga,Yes,No,None,None,No,Before middle school,8,Yes,5+,99,Did not train,Did not train,No,No,Sophomore,"Mathematical Sciences, BA",Binghamton University,,,,3.92,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/15/2025 14:41:06,Female,21,White,,NY,Wayne,Yes,Yes,Tennis,XC/Track and Field,Yes,End of high school,4,Yes,5+,99,5,3,No,No,Graduate Student,"Mathematical Sciences, BA",Binghamton University,,,,3.89,Graduate School,No,None,No,Do not train,Do not train,No effect,,"The form is very clear and concise! If possible, I would recommend splitting the form into sections (ex. asking if someone is a college athlete, then only navigating them to the following questions if they select Yes). This would make the form faster for participants and give you less NA data to deal with later. Good luck with your research!",
10/15/2025 19:15:34,Female,20,White,,PA,Montgomery,Yes,Yes,Tennis,XC/Track and Field,Yes,Never Stopped,8,Yes,2,N/A,5,2,No,Yes,Junior,"Mathematical Sciences, BS",Binghamton University,,,,3.96,Both,No,None,Yes,Do not train,Do not train,N/A,,,
10/22/2025 22:47:27,Female,18,White,,NY,Putnam,Yes,Yes,Field hockey,Golf,Yes,End of high school,4,Yes,3,98,6,2,No,Yes,Freshman,"Economics, BA",Binghamton University,,,,No GPA yet,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/22/2025 22:47:49,Female,20,White,,NY,Richmond,Yes,Yes,Dance,Soccer,Yes,End of high school,4,Yes,5+,95,4,2,No,Yes,Graduate Student,"Political Science, BA",Binghamton University,,,Yes,3.6,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/22/2025 22:49:23,Male,18,White,,NY,Suffolk,Yes,Yes,Hockey,Basketball,Yes,During high school,1,Yes,3,97,Did not train,Did not train,No,Yes,Freshman,Undeclared,Binghamton University,,,,No GPA Yet,Employment,No,None,No,Do not train,Do not train,Positive effect,,The survey took not even 5 minutes. I felt that it was a good length because very long surveys I lose focus and don't end up answering the truest towards the end because I just want to get it done with. I thought it was a good survey,
10/22/2025 22:54:43,Male,22,White,,MA,Middlesex,Yes,Yes,Volleyball,None,No,During high school,8,Yes,2,94,5,2,No,Yes,Senior,"Chemistry, BS",Binghamton University,,,,3.82,Both,No,None,No,Do not train,Do not train,N/A,,,
10/22/2025 22:57:29,Female,21,White,,NY,Sullivan ,Yes,Yes,Cheer,None,No,End of high school,8,Yes,5+,100,4,2,No,Yes,Senior,"Environmental Studies, BA",Binghamton University,,,,3.65,Graduate School,No,None,Yes,Do not train,Do not train,N/A,,The question on study time could have an option for >8 hours,
10/22/2025 23:02:40,Male,19,White,,NY,Chemung,No,Yes,Tennis,None,Yes,Never Stopped,6,Yes,2,98,5,2,No,Yes,Freshman,"Mechanical Engineering, BS",Binghamton University,,,,No GPA Yet,Employment,No,None,Yes,Do not train,Do not train,Positive effect,,,
10/22/2025 23:07:31,Male,17,Asian,,NY,Rockland,No,Yes,None,None,No,During high school,4,Yes,5+,98,Did not train,Did not train,Yes,Yes,Freshman,"Integrative Neuroscience, BS",Binghamton University,,,,No GPA Yet,Both,No,None,Yes,Do not train,Do not train,Negative effect,No,,
10/22/2025 23:09:37,Female,19,White,,NY,Lewis,Yes,Yes,Cheer,None,Yes,End of high school,3,Yes,5,99,6,2,No,Yes,Sophomore,"Mathematical Sciences, BA",Binghamton University,,,,3.76,Both,No,None,No,Do not train,Do not train,No effect,No,"The gender question should maybe be more inclusive, I’m confused about the primary vs secondary sport in high school especially because lots of people play more than two sports (this should be one question with a list of checkboxes where you can check multiple), it’s unclear what counts as studying in high school (does regular homework count? just studying for exams? what about quizzes?), for majors there should be an option to write in multiple majors since people double or triple major or pursue double degrees.",
10/22/2025 23:12:43,Female,18,White,,NY,Kings,Yes,Yes,Softball,Volleyball,No,Never Stopped,8,Yes,5+,100,7,3,No,Yes,Freshman,"Philosophy, Politics, and Law, BA",Binghamton University,,,,No GPA Yet,Both,No,None,No,Do not train,Do not train,No effect,,"There should be another section for sports played in high school. I did dance, softball, and volleyball but was only able to put 2. I was confused about how to answer certain questions about sports at Binghamton because dance teams and companies do not recruit or offer scholarships.",
10/22/2025 23:14:15,Female,18,White,,NY,DELAWARE,Yes,Yes,Hockey,XC/Track and Field,No,End of high school,2,Yes,5+,94,5,2,No,Yes,Freshman,"Integrative Neuroscience, BS",Binghamton University,,,,No GPA Yet,Both,No,None,No,Do not train,Do not train,Positive effect,,This was a great short survey,
10/22/2025 23:28:13,Female,18,Asian,,NY,Queens,No,No,None,None,No,Never Played,2,Yes,3,100,Did not train,Did not train,No,No,Freshman,Undeclared,Binghamton University,,,,No GPA Yet,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/22/2025 23:28:59,Female,18,White,,NY,Saratoga,Yes,No,Soccer,None,No,Before middle school,3,Yes,5+,97,Did not train,Did not train,No,No,Freshman,"Accounting, BS",Binghamton University,,,,No GPA Yet,Graduate School,No,None,No,Do not train,Do not train,N/A,No,,
10/23/2025 6:29:03,Female,39,White,,NY,N/A,No,Yes,Tennis,XC/Track and Field,No,End of high school,6,Yes,5,89,5,3,No,No,Alum,"Music, BA",Binghamton University,,,,3.4,Graduate School,No,None,No,Do not train,Do not train,No effect,,Not enough questions about those that pursued graduate and post undergrad studies? ,
10/23/2025 8:40:15,Male,21,White,,NY,Steuben,Yes,Yes,Golf,None,No,During high school,5,No,,92,4,2,No,Yes,Senior,"History, BA",Binghamton University,,,,3.45,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 8:45:42,Male,19,White,,NY,Livingston,Yes,Yes,XC/Track and Field,None,Yes,Never Stopped,0,Yes,5+,100.85,6,2,No,Yes,Junior,"History, BA",Binghamton University,,,,3.86,Graduate School,No,None,No,Do not train,Do not train,Positive effect,No,"By focusing solely on sport, I feel bias is present by assuming this may be immediate correlation when there are other factors. ",
10/23/2025 8:50:13,Male,21,Asian,,NY,QUEENS,No,No,None,None,No,Never Played,3,Yes,3,93,Did not train,Did not train,No,No,Senior,"Economics, BA",Binghamton University,,,,3.4,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 8:51:57,Female,20,White,,NY,Oneida,Yes,Yes,Dance,None,No,End of high school,8,Yes,5,98,7,2,Yes,Yes,Senior,"History, BA",Binghamton University,,,,3.98,Graduate School,No,None,No,5,2,Positive effect,,You should probably include club sports specifically as well as you have a specific section for intramural and NCAA,
10/23/2025 9:21:42,Female,19,"Hispanic or Latino, White",,NY,Orange,Yes,Yes,Dance,None,No,Before middle school,3,Yes,3,90,Did not train,Did not train,No,No,Sophomore,"Psychology, BA",Binghamton University,,,,3.1,Both,No,None,No,Do not train,Do not train,No effect,,,
10/23/2025 9:23:55,Female,20,White,,ny,livingston,Yes,Yes,Basketball,Soccer,Yes,End of high school,5,Yes,2,100,6,2,No,Yes,Junior,"History, BA",Binghamton University,,,,3.94,Graduate School,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 9:38:06,Prefer not to say,18,White,,PA,York,No,No,None,None,No,Never Played,4,Yes,3,95,Did not train,Did not train,No,No,Freshman,Undeclared,Binghamton University,,,,No GPA Yet,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 10:02:45,Female,20,Hispanic or Latino,,NY,Westchester,Yes,Yes,Tennis,bowling,Yes,End of high school,4,Yes,3,99.98,4,2,No,Yes,Junior,"Philosophy, Politics, and Law, BA",Binghamton University,,,,3.79,Graduate School,No,None,No,Do not train,Do not train,Positive effect,No,,
10/23/2025 10:53:16,Male,19,White,,NY,Saratoga,No,No,None,None,No,Never Played,3,Yes,5+,96,Did not train,Did not train,No,No,Sophomore,"Biological Sciences, BA",Binghamton University,,,,3.83,Both,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 10:54:46,Female,19,"White, South Asian",,NY,Putnam,Yes,Yes,Softball,None,No,During high school,5,Yes,5+,95,2,1,No,No,Sophomore,"Economics, BA",Binghamton University,,,,3.33,Both,No,None,No,Do not train,Do not train,N/A,No,,
10/23/2025 10:56:38,Male,18,Asian,,NY,Richmond,No,No,None,None,No,Never Played,5,No,,99.87,Did not train,Did not train,No,No,Sophomore,"Economics, BA",Binghamton University,,,,3.7,Both,No,None,No,Do not train,Do not train,Positive effect,,,
10/23/2025 10:57:06,Female,19,White,,NY,KINGS,No,No,None,None,No,Never Played,5,Yes,3,98.5,Did not train,Did not train,No,No,Junior,"Electrical Engineering, BS",Binghamton University,,,,3.5,Both,No,None,No,Do not train,Do not train,N/A,No,,
10/23/2025 10:57:16,Female,21,"Black or African American, White",,NY,Albany,Yes,Yes,Basketball,XC/Track and Field,No,During high school,5,Yes,3,N/A,6,3,No,Yes,Senior,"Economics, BA",Binghamton University,,Yes,Yes,3,Both,No,None,No,Do not train,Do not train,N/A,No,,
10/23/2025 11:02:49,Female,21,White,,NY,Steuben,Yes,No,None,None,No,End of middle school,8,Yes,5+,94,Did not train,Did not train,No,No,Senior,"Environmental Science, BS",Binghamton University,,,,3.1,Employment,No,None,No,Do not train,Do not train,N/A,,"The major question doesn’t account for multiple majors, like I’m a double major in environmental science and economics so I just selected environmental science. It took less than five minutes which was a good length.",
10/23/2025 11:07:48,Female,19,Asian,,NY,Kings,No,No,None,None,No,Never Played,2,Yes,2,98,Did not train,Did not train,No,No,Junior,"Mathematical Sciences, BA",Binghamton University,,,,3.52,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 11:11:22,Female,21,Asian,,NY,Queens,No,Yes,Dance,None,No,End of middle school,2,Yes,4,99,Did not train,Did not train,No,No,Senior,"Economics, BA",Binghamton University,,,,3,Employment,No,None,No,Do not train,Do not train,N/A,No,I think the survey might be too long. ,
10/23/2025 11:11:42,Male,20,"Hispanic or Latino, White",,NY,Ulster,No,Yes,XC/Track and Field,None,No,Never Stopped,1,Yes,2,94,5,2,Yes,Yes,Junior,"Economics, BS",Binghamton University,,,,3,Both,Yes,XC/Track and Field,No,5,3,Negative effect,No,,Recruited
